screen_name,id,protected,followers,follow_count
Doug_Pruim,1684471531,False,965,2355
travisjones032,1684172436,False,141,616
QuoteResearch,565264651,False,12231,6812
BRATDEVILSCOMIC,1656056359,False,90,424
Dr_DaleKelly,372552986,False,14,6
smgrimes,49084636,False,3275,2725
brentmayberry,2418101,False,858,2918
veronicamilia,496093313,False,2,32
brentbtoyota,140200876,False,1211,823
sea_recruiter,1363056841,False,184,926
shakmatt,20775221,False,466,215
bkeegan,16629994,False,8125,3210
EliseMeservy,455346137,False,96,132
nodexl,87606674,False,10405,4203
__mario__,14460368,False,144,611
LUTwit13,1243556335,False,85,323
TtW_conf,216140356,False,4579,969
rslsoccertalk,625563709,False,1203,1472
edchi,9271782,False,10166,3455
JamesSlevin,25172155,True,490,859
hankersolutions,620594677,False,246,998
DehnCraig,566047872,False,95,107
sinanaral,214272214,False,57372,9859
GoCityBus,107483636,False,1911,913
marc_smith,12160482,False,12077,7242
Imagenaciones,413012316,False,1752,1263
petrmatous,28461336,False,501,182
RSL_NATION,488868177,False,2915,3053
silvenis,78937636,False,88,255
s_t_e_v_e_jones,14660532,False,4255,3244
1wordsofadvice1,829597345,False,284,1437
lovefamilylanza,801419306,False,11,62
go0348,273316751,False,36,105
HtheHamdy,791302250,False,1,22
ZaynMal13872699,774562754,False,0,27
EscondidoBand,144953048,False,2409,615
benwbrum,14234902,False,2273,1651
ranaoyola139,717669420,False,36,646
commondatageek,705109621,False,54,55
skypipermusic,107541219,False,493,1112
williamswww79,620214973,False,0,52
MitchellTheron,619826439,False,1,12
kathleenkr,23191031,False,588,526
bouncylandenter,616389505,False,24,125
acsnow9,574694381,False,17,50
