text,timestamp,favorite_count,followers,friends_count
RT @lostharpy: @confusedophan https://t.co/IFtDFLM6vt,Tue Apr 07 01:15:18 +0000 2020,0,785,814
".@sammyhagar and The Circle have done a cover of The Who's ""Won't Get Fooled Again."" https://t.co/XyPSqIJlNQ",Tue Apr 07 01:15:02 +0000 2020,1,942,2133
"RT @GradPurdue: Only one week left to tell your story! 
Register today @ https://t.co/wB2A7Gdirj https://t.co/ZMBBPBtezm",Tue Apr 07 01:14:59 +0000 2020,0,1057,769
@MariaMares_ I don't want to interrupt his date tho,Tue Apr 07 01:14:54 +0000 2020,0,52,80
i’m so socially deprived that if jehovah’s witness came to the door rn i’d honestly probably hear them out,Tue Apr 07 01:14:33 +0000 2020,5,164,210
RT @JayAkridge: Purdue President Emeritus Steven Beering remembered https://t.co/KRSBgBTGPY,Tue Apr 07 01:14:29 +0000 2020,0,1057,769
@ChadACarter1996 @CBBonFOX @BoilerBall @ButlerMBB As long as it's not the Crossroad Classic... 🙄,Tue Apr 07 01:14:27 +0000 2020,0,2714,1257
@sboehm09 @SyngentaUS We will have to meet up some point Shannon! I’ll be right down the road. Excited to be coming… https://t.co/JHGZzhRJHR,Tue Apr 07 01:14:11 +0000 2020,0,1053,1038
😂😂😂😂 https://t.co/Z1LpAsVcqO,Tue Apr 07 01:14:04 +0000 2020,1,251,185
@behrmarq 😂 what?!,Tue Apr 07 01:13:49 +0000 2020,1,251,185
RT @joletta_huizar: @InRodITrust24 I’m coming to see @AshlynnSexton anyways 🙄,Tue Apr 07 01:13:46 +0000 2020,0,51,50
My week on Twitter 🎉: 1 Mention. See yours with https://t.co/AMgYaLy95m https://t.co/7GcINZ3Bss,Tue Apr 07 01:13:44 +0000 2020,0,1619,1141
@DalaniYoung Happy Birthday and remember to Uber/Lyft home from the kitchen! I hear there's a check point outside t… https://t.co/O4EpurUoSF,Tue Apr 07 01:13:14 +0000 2020,1,2714,1257
@AyeyoKEJO You wanna fight those refs? I wanna fight the guy who messed up the clock in that Purdue game smh,Tue Apr 07 01:13:10 +0000 2020,0,345,732
i love @AnnaAkana and every piece of her art. i have since i was 13 and i still do.,Tue Apr 07 01:13:04 +0000 2020,0,169,496
@InRodITrust24 I’m coming to see @AshlynnSexton anyways 🙄,Tue Apr 07 01:13:04 +0000 2020,0,316,313
RT @jconline: Steven Beering was Purdue president from 1983 to 2000. The university reported this evening that he died. Beering was 87 and…,Tue Apr 07 01:12:52 +0000 2020,0,2639,874
"RT @PurdueSoccer: Happy National Student-Athlete Day to our Boilermakers! Every day, you make us proud, inspire us and are shining examples…",Tue Apr 07 01:12:31 +0000 2020,0,68286,650
"A recommended breakfast in 1917 consisted of fruit, whole grain cereal, bread, a hot beverage, and a protein such as eggs, meat, or fish.",Tue Apr 07 01:12:19 +0000 2020,0,21,0
"RT @PurdueSports: Our student-athletes are #Boilermaker strong. 💪

#NationalStudentAthleteDay! 🙌
#NatlSADay 🔨 
#BoilerUp 🚂
@PurdueTrackXC 🥇…",Tue Apr 07 01:12:14 +0000 2020,0,6697,323
@DanLamothe @GlennKesslerWP @SECNAV Resign.,Tue Apr 07 01:12:05 +0000 2020,0,19,50
Shorter version:  it’s Monday https://t.co/FQy7uiMeYF,Tue Apr 07 01:11:50 +0000 2020,0,508,1752
